state,state_code,place_name,category,description,timings,entry_fee,best_time,nearest_railway,nearest_bus,nearest_airport,metro_station,accessibility,guided_tours,parking,nearby_amenities,official_website,wikipedia,special_notes,source_file
Delhi,DL,Qutub Minar,Historical Monument / Unesco World Heritage Site,nan,7:00 AM – 5:00 PM (Sunrise to sunset; closed on certain national holidays),"Indian Visitors ~₹35, Foreign Visitors ~₹550–₹600 (subject to ASI updates)",October–March,Hazrat Nizamuddin Railway Station,Mehrauli Bus Stand,Indira Gandhi International Airport,Qutub Minar Metro Station (Yellow Line),Partial wheelchair access; some uneven pathways,Local guides available in English/Hindi; audio guide options sometimes available,Limited nearby parking,Cafes and restaurants nearby; restrooms; small shops,ASI Qutub Minar,Qutub Minar - Wikipedia,Part of Qutub complex with Iron Pillar; UNESCO World Heritage site; security checks enforced,delhi_tourist_places.csv
Delhi,DL,India Gate & Kartavya Path,War Memorial / Open Monument / Park Area,nan,Open 24/7 (recommended visiting 5 AM – 9 PM),No entry fee,November–February,New Delhi Railway Station,Rajpath / Janpath Bus Stops,Indira Gandhi International Airport,Central Secretariat / Patel Chowk / Udyog Bhawan,Wheelchair friendly; wide paved pathways,City guides and HOHO buses include India Gate,Nearby paid parking (Connaught Place / Raisina Hill),"Restaurants, cafes, souvenir stalls, restrooms",,India Gate - Wikipedia,War memorial for WWI soldiers; heavy crowds on national holidays; popular for evening walks and photography,delhi_tourist_places.csv
Delhi,DL,Humayun’s Tomb,Historical Monument / Unesco World Heritage Site,nan,Sunrise to 7:30 PM daily,"Indian Visitors ~₹35, Foreign Visitors ~₹550–₹600; photography fees may apply",October–March,Hazrat Nizamuddin Railway Station,Nizamuddin Bus Stop,Indira Gandhi International Airport,JLN Stadium Metro Station (Violet Line),Garden pathways partially wheelchair-friendly; some uneven heritage paths,Local guides available; ASI signage and audio guides available,Nearby parking at Nizamuddin / Mathura Road,"Cafes, Nizamuddin Dargah precincts, restrooms, small shops",Humayun’s Tomb - ASI,Humayun’s Tomb - Wikipedia,Mughal architecture precursor to Taj Mahal; UNESCO World Heritage Site; large gardens and tomb complexes,delhi_tourist_places.csv
Delhi,DL,Lotus Temple (Bahá'í House of Worship),Religious / Temple / Architectural Attraction,nan,8:30 AM – 6:00 PM (Tuesday–Sunday; check official site for seasonal updates),Free,October–March,Hazrat Nizamuddin Railway Station,Kalkaji Bus Stop,Indira Gandhi International Airport,Kalkaji Mandir Metro Station (Violet Line),Wheelchair-friendly; garden pathways and meditation hall accessible,Volunteer staff explain visitor etiquette; formal guided tours generally not conducted inside the hall,Onsite/nearby parking,"Gardens, small cafes nearby, restrooms",Lotus Temple Official,Lotus Temple - Wikipedia,Famous lotus-shaped architecture; open to people of all religions; photography and silence etiquette enforced,delhi_tourist_places.csv
Delhi,DL,Jama Masjid,Religious / Mosque / Historical Monument,nan,7:00 AM – 12:00 PM & 1:30 PM – 6:30 PM (visiting outside prayer hours),Free (dress code mandatory),October–March,Old Delhi Railway Station,Chandni Chowk Bus Stop,Indira Gandhi International Airport,Jama Masjid Metro Station (Heritage/Local),Stone steps; not fully wheelchair-friendly,Local guides available (English/Hindi),Very limited; use nearby paid parking at Chandni Chowk,"Famous street food (parathas, kebabs), markets (Chandni Chowk), shops, restrooms",,Jama Masjid - Wikipedia,One of India’s largest mosques; access restricted during prayer times and festivals,delhi_tourist_places.csv
Delhi,DL,Chandni Chowk,Market / Heritage Street / Food District,nan,10:00 AM – 8:00 PM (varies; some early morning shops open),Free,October–March,Old Delhi Railway Station,Chandni Chowk Bus Stop,Indira Gandhi International Airport,Chandni Chowk Metro Station (Yellow Line),Narrow lanes; not wheelchair-friendly in many parts; crowded,Heritage walks and food walks available (English/Hindi),Limited; park in nearby lots and walk,"Eateries, sweet shops, jewelry and textile shops, restrooms",,Chandni Chowk - Wikipedia,Historic market near Red Fort & Jama Masjid; famous for street food and traditional shops,delhi_tourist_places.csv
Delhi,DL,Connaught Place (Rajiv Chowk),Commercial Hub / Colonial Era Circle / Entertainment District,nan,Shops typically 10:00 AM – 10:00 PM,Free,October–March,New Delhi Railway Station,Connaught Place Bus Stand,Indira Gandhi International Airport,Rajiv Chowk Metro Station (Blue & Yellow Lines),Wheelchair-friendly in most areas; well-paved roads and pedestrian zones,Heritage walks and city tours include Connaught Place,Paid parking available,"Restaurants, cafes, pubs, shops, hotels, banks, restrooms",,Connaught Place - Wikipedia,Iconic colonial-era commercial center; nightlife and shopping hub; cultural events occasionally,delhi_tourist_places.csv
Delhi,DL,Akshardham Temple,Religious / Temple / Cultural / Architectural Attraction,nan,9:30 AM – 6:30 PM (closed on Mondays),Free entry; exhibitions and boat ride charges vary (~₹100–₹150),October–March,New Delhi Railway Station,Akshardham Bus Terminal,Indira Gandhi International Airport,Akshardham Metro Station (Blue Line),Wheelchair-friendly; well-maintained paths,Available in multiple languages; audio guides and volunteer guides,Large onsite parking,"Cafes, souvenir shops, restrooms",Akshardham Temple Official,Akshardham Temple - Wikipedia,"Famous for intricate carvings, exhibitions, Yagnapurush Kund, and boat ride; evening fountain show",delhi_tourist_places.csv
Delhi,DL,Raj Ghat,Memorial / Historical / Open Monument,nan,6:00 AM – 6:00 PM (all days),Free,October–March,New Delhi Railway Station,Delhi Gate / Old Delhi Bus Stop,Indira Gandhi International Airport,ITO Metro Station,Wheelchair-friendly; paved gardens,Local guides available; informative plaques onsite,Limited parking,Cafes/restrooms nearby; souvenir stalls,Raj Ghat - Delhi Tourism,Raj Ghat - Wikipedia,Memorial of Mahatma Gandhi; tranquil garden setting; floral tributes common,delhi_tourist_places.csv
Delhi,DL,Rashtrapati Bhavan & Mughal Gardens,Government Residence / Historical Monument / Gardens,nan,"Mughal Gardens open during March–April (spring season), 9:00 AM – 4:00 PM",Free; guided tours for residence require prior booking,March–April,New Delhi Railway Station,Secretariat / Central Secretariat Bus Stops,Indira Gandhi International Airport,Central Secretariat Metro Station (Yellow & Violet Lines),Gardens partially wheelchair-friendly; guided tour routes manageable,Prior booking needed for inside Rashtrapati Bhavan; guided garden tours available,Limited onsite parking during garden open days,Cafes/restrooms at designated spots; shops Not documented,Rashtrapati Bhavan,Rashtrapati Bhavan - Wikipedia,Presidential residence; Mughal Gardens seasonal access; Indo-Saracenic architecture,delhi_tourist_places.csv
Delhi,DL,Garden of Five Senses,Park / Eco-Tourism / Recreational / Cultural Space,nan,9:00 AM – 7:00 PM,~₹30–₹50 (adults; children may have discounted rates),October–March,Hazrat Nizamuddin Railway Station,Mehrauli Bus Stop,Indira Gandhi International Airport,Saket Metro Station,Wheelchair-friendly; well-maintained paved paths,Available on request; photography and nature walks encouraged,Onsite parking available,"Cafes, restrooms, small shops",Garden of Five Senses,Garden of Five Senses - Wikipedia,"Includes themed gardens, cultural exhibits, sculptures, and fountains; ideal for nature photography and leisure",delhi_tourist_places.csv
Delhi,DL,Lodhi Garden,Park / Heritage Site,nan,5:00 AM – 7:30 PM (daily),Free,October–March,Hazrat Nizamuddin Railway Station,Lodhi Road Bus Stop,Indira Gandhi International Airport,Khan Market Metro Station (Violet Line),Wheelchair-friendly; well-maintained pathways; popular for morning walks and jogs,Not documented,Limited parking available nearby,"Cafes, restaurants, restrooms, Khan Market shopping area",,Lodhi Garden - Wikipedia,"Spread over 90 acres, the garden houses tombs from the Sayyid and Lodi dynasties, including Sikandar Lodi's tomb and the Bara Gumbad mosque.",delhi_tourist_places.csv
Delhi,DL,National Rail Museum,Museum / Heritage Site,nan,9:30 AM – 5:30 PM (closed on Mondays),₹50 (adults); ₹100 (weekends),October–March,New Delhi Railway Station,Chanakyapuri Bus Stop,Indira Gandhi International Airport,Lok Kalyan Marg Metro Station (Yellow Line),Wheelchair-friendly; interactive exhibits suitable for all ages,Available; audio guides and guided tours in multiple languages,Ample parking space available,"Cafes, souvenir shops, restrooms",National Rail Museum,National Rail Museum - Wikipedia,"The museum showcases India's railway heritage, featuring vintage locomotives, royal coaches, and interactive displays.",delhi_tourist_places.csv
Delhi,DL,National Science Centre,Science Museum / Educational Centre,nan,10:00 AM – 5:00 PM (closed on Holi and Diwali),₹50–₹100 (varies by exhibition),Throughout the year,New Delhi Railway Station,Pragati Maidan Bus Stop,Indira Gandhi International Airport,Pragati Maidan Metro Station (Blue Line),Fully wheelchair-accessible; interactive and engaging exhibits for children and adults,Available; educational programs and workshops conducted regularly,Limited parking available,"Cafes, restaurants, restrooms",National Science Centre,National Science Centre - Wikipedia,"The centre features a wide range of exhibits on science and technology, including a 3D theatre and interactive displays.",delhi_tourist_places.csv
Delhi,DL,Hauz Khas Village,Heritage Village / Cultural Hub,nan,Shops and cafes typically open from 10:00 AM – 10:00 PM,Free,October–March,Hazrat Nizamuddin Railway Station,Hauz Khas Bus Stop,Indira Gandhi International Airport,Hauz Khas Metro Station (Yellow Line),Partially wheelchair-accessible; cobblestone streets may be challenging,Not documented,Limited parking available,"Boutiques, art galleries, cafes, restaurants, restrooms",,Hauz Khas Village - Wikipedia,"A blend of medieval history and modern culture, featuring a historic water tank, Islamic monuments, and a vibrant urban village atmosphere.",delhi_tourist_places.csv
Delhi,DL,Safdarjung Tomb,Historical Monument / Tomb,nan,Sunrise to Sunset (daily),₹25 (Indians); ₹300 (foreigners),October–March,Hazrat Nizamuddin Railway Station,Safdarjung Bus Stop,Indira Gandhi International Airport,Jor Bagh Metro Station (Yellow Line),Wheelchair-friendly; well-maintained pathways,Not documented,Limited parking available,"Cafes, restaurants, restrooms",,Safdarjung Tomb - Wikipedia,"A late Mughal architecture marvel, often referred to as a 'mini Taj Mahal,' built in 1754 for Nawab Safdarjung.",delhi_tourist_places.csv
Delhi,DL,St. James' Church,Heritage Church / Religious Site,nan,Sunday services: Winter 9:00 AM; Summer 8:30 AM; open for visitors on weekdays 9:00 AM – 5:00 PM,Free,Throughout the year,Kashmere Gate Railway Station,Kashmere Gate Bus Stop,Indira Gandhi International Airport,"Kashmere Gate Metro Station (Red, Yellow & Violet Lines)",Wheelchair-accessible; well-maintained interiors; colonial-era architecture with pews and high ceilings,Not documented; local guides sometimes available for historical insights,Limited parking available nearby,Cafes and eateries in the surrounding Kashmere Gate area; restrooms nearby; souvenir shops limited,St. James' Church Official,St. James' Church - Wikipedia,"One of the oldest churches in Delhi, built in 1826; known as the 'Skinner’s Church' (after Colonel James Skinner); British-era colonial architecture; peaceful site amidst busy city traffic; ideal for photography and historical interest.",delhi_tourist_places.csv
Delhi,DL,Jantar Mantar,Historical Monument / Observatory,nan,9:00 AM – 5:00 PM (daily),Indian Visitors ~₹10; Foreign Visitors ~₹200,October–March,New Delhi Railway Station,Connaught Place Bus Stop,Indira Gandhi International Airport,Rajiv Chowk Metro Station (Yellow & Blue Lines),Partially wheelchair-friendly; some structures have steep steps,Local guides available in English/Hindi,Limited nearby paid parking,"Restaurants, cafes, shops, restrooms",,"Jantar Mantar, Delhi - Wikipedia",Built in 1724 by Maharaja Jai Singh II; collection of architectural astronomical instruments.,delhi_tourist_places.csv
Delhi,DL,Purana Qila (Old Fort),Historical Monument / Fort,nan,7:00 AM – 5:00 PM (daily),Indian Visitors ~₹30; Foreign Visitors ~₹500,October–March,Pragati Maidan Railway Station,Purana Qila Bus Stop,Indira Gandhi International Airport,Pragati Maidan Metro Station (Blue Line),Garden pathways mostly accessible; some uneven stone areas,Local guides available; heritage walks sometimes organized,Limited onsite parking,"Cafes, souvenir shops, restrooms",ASI Purana Qila,Purana Qila - Wikipedia,One of Delhi’s oldest forts; museum inside; hosts cultural events and sound-light shows.,delhi_tourist_places.csv
Delhi,DL,Nehru Planetarium,Science / Educational / Planetarium,nan,"10:00 AM – 5:00 PM (shows at 11:00 AM, 2:00 PM, 4:00 PM)",₹40–₹50 (per show; adults),October–March,New Delhi Railway Station,Teen Murti Bhavan Bus Stop,Indira Gandhi International Airport,Lok Kalyan Marg Metro Station (Yellow Line),Wheelchair-friendly; indoor facilities accessible,Staff explain exhibits; shows available in English/Hindi,Limited onsite parking,"Cafes, restrooms, small gift shops",Nehru Planetarium Delhi,Nehru Planetarium - Wikipedia,Educational center for astronomy and space science; planetarium shows popular for students and tourists.,delhi_tourist_places.csv
Delhi,DL,Dilli Haat,Market / Cultural & Handicraft Hub / Food Court,nan,10:30 AM – 10:00 PM (daily),₹30 per person,October–March,INA Railway Station,INA Bus Stop,Indira Gandhi International Airport,INA Metro Station (Yellow Line),Wheelchair-friendly; open-air bazaar with paved pathways,Not documented,Ample onsite parking,"Restaurants, cafes, handicraft shops, restrooms",Delhi Haat Official,Dilli Haat - Wikipedia,Traditional crafts and cuisines from all Indian states; cultural performances frequently held.,delhi_tourist_places.csv
Delhi,DL,Rajpath & India Gate Boulevard,Boulevard / Heritage Walk / National Landmark,nan,Open 24/7; best visited 5 AM – 9 PM,Free,October–March,New Delhi Railway Station,Secretariat / Janpath Bus Stops,Indira Gandhi International Airport,Central Secretariat / Patel Chowk Metro Station,Wheelchair-friendly; wide boulevards and lawns,Heritage and city tours include Rajpath,Limited paid parking nearby,"Cafes, restaurants, restrooms, souvenir stalls",,Rajpath - Wikipedia,"Home to official parades, India Gate, and Rashtrapati Bhavan view; ideal for morning/evening walks and photography.",delhi_tourist_places.csv
Delhi,DL,Rashtrapati Bhavan Museum & Mughal Gardens,Government Residence / Museum / Heritage Site,nan,"Mughal Gardens open during March–April, 9:00 AM – 4:00 PM; Museum tours require prior booking",Free; guided tours of residence require prior booking,March–April,New Delhi Railway Station,Secretariat / Central Secretariat Bus Stops,Indira Gandhi International Airport,Central Secretariat Metro Station (Yellow & Violet Lines),Gardens partially wheelchair-friendly; guided tour routes manageable,Available with prior booking,Limited onsite parking during garden open days,Cafes/restrooms at designated spots; souvenir shops Not documented,Rashtrapati Bhavan Official,Rashtrapati Bhavan - Wikipedia,Presidential residence; showcases colonial and Mughal architecture; Mughal Gardens seasonal access.,delhi_tourist_places.csv
Delhi,DL,Agrasen ki Baoli,Historical Monument / Stepwell,nan,9:00 AM – 5:00 PM (daily),Free,October–March,New Delhi Railway Station,Janpath / Connaught Place Bus Stop,Indira Gandhi International Airport,Rajiv Chowk Metro Station (Yellow & Blue Lines),Not fully wheelchair-accessible; stone steps and narrow spaces,Local guides available; photography tours sometimes organized,Limited nearby parking,"Cafes, restaurants, Connaught Place shopping area",,Agrasen ki Baoli - Wikipedia,14th-century stepwell; historic water conservation structure; popular with photographers and history enthusiasts.,delhi_tourist_places.csv
Delhi,DL,Tughlaqabad Fort,Historical Monument / Fort,nan,Sunrise to Sunset (daily),Free,October–March,Tughlakabad Railway Station,Tughlakabad Bus Stop,Indira Gandhi International Airport,Tughlakabad Metro Station (Violet Line),Steep terrain; not wheelchair-friendly; trekking difficulty moderate,Local guides sometimes available; history tours possible,Limited parking near the entrance,Minimal amenities; bring water and snacks,,Tughlaqabad Fort - Wikipedia,14th-century fort built by Ghiyas-ud-din Tughlaq; large ruins on a hill; offers panoramic views of Delhi; popular for history and photography enthusiasts.,delhi_tourist_places.csv
Goa,GA,"Palolem Beach, South Goa",Beach / Tourist Attraction,nan,Open 24/7,Free,November–March (pleasant weather),Canacona Railway Station (approx. 3 km),Palolem Bus Stand (approx. 1 km),Dabolim Airport (approx. 67 km),nan,Wheelchair-friendly; sandy paths,Not documented,Limited parking available; charges Not documented,"Beach shacks, restaurants, restrooms",nan,Palolem Beach - Wikipedia,Known for its crescent-shaped shoreline and calm waters; popular for kayaking and dolphin watching.,goa_data.csv
Goa,GA,"Baga Beach, North Goa",Beach / Tourist Attraction,nan,Open 24/7,Free,November–March (pleasant weather),Thivim Railway Station (approx. 20 km),Baga Bus Stop (approx. 0.5 km),Dabolim Airport (approx. 40 km),nan,Wheelchair-friendly; sandy paths,Not documented,Limited parking available; charges Not documented,"Beach shacks, water sports, restaurants, restrooms",nan,Baga Beach - Wikipedia,Famous for its vibrant nightlife and water sports activities.,goa_data.csv
Goa,GA,"Anjuna Beach, North Goa",Beach / Tourist Attraction,nan,Open 24/7,Free,November–March (pleasant weather),Thivim Railway Station (approx. 18 km),Anjuna Bus Stop (approx. 1 km),Dabolim Airport (approx. 45 km),nan,Wheelchair-friendly; sandy paths,Not documented,Limited parking available; charges Not documented,"Beach shacks, flea market (Wednesdays), restaurants, restrooms",nan,Anjuna Beach - Wikipedia,Known for its vibrant flea market and trance parties.,goa_data.csv
Goa,GA,"Fort Aguada, North Goa",Historical Fort / Tourist Attraction,nan,9:30 AM – 6:00 PM (daily),Free,November–March (pleasant weather),Thivim Railway Station (approx. 20 km),Candolim Bus Stop (approx. 1 km),Dabolim Airport (approx. 35 km),nan,Wheelchair-friendly; paved pathways,Available,Ample parking available; charges Not documented,"Cafes, restaurants, restrooms",nan,Fort Aguada - Wikipedia,17th-century Portuguese fort offering panoramic views of the Arabian Sea.,goa_data.csv
Goa,GA,"Chapora Fort, North Goa",Historical Fort / Tourist Attraction,nan,Open 24/7,Free,November–March (pleasant weather),Thivim Railway Station (approx. 20 km),Chapora Bus Stop (approx. 1 km),Dabolim Airport (approx. 45 km),nan,Moderate; some steep climbs,Not documented,Limited parking available; charges Not documented,"Cafes, restaurants, restrooms",nan,Chapora Fort - Wikipedia,Famous for its scenic views and as a filming location for the movie 'Dil Chahta Hai.',goa_data.csv
Goa,GA,"Reis Magos Fort, North Goa",Historical Fort / Tourist Attraction,nan,9:30 AM – 5:30 PM (daily),"₹50 (Indian visitors), ₹100 (foreign visitors)",November–March (pleasant weather),Thivim Railway Station (approx. 25 km),Reis Magos Bus Stop (approx. 1 km),Dabolim Airport (approx. 30 km),nan,Wheelchair-friendly; paved pathways,Available,Limited parking available; charges Not documented,"Cafes, restaurants, restrooms",nan,Reis Magos Fort - Wikipedia,Restored fort offering historical exhibits and panoramic views of the Mandovi River.,goa_data.csv
Goa,GA,"Basilica of Bom Jesus, Old Goa",Unesco World Heritage Site / Church,nan,9:00 AM – 6:30 PM (daily),Free,November–March (pleasant weather),Karmali Railway Station (approx. 10 km),Old Goa Bus Stop (approx. 1 km),Dabolim Airport (approx. 30 km),nan,Wheelchair-friendly; paved pathways,Available,Limited parking available; charges Not documented,"Cafes, restaurants, restrooms",nan,Basilica of Bom Jesus - Wikipedia,Houses the mortal remains of St. Francis Xavier; significant example of baroque architecture.,goa_data.csv
Goa,GA,"Se Cathedral, Old Goa",Church / Religious Site,nan,7:00 AM – 6:30 PM (daily),Free,November–March (pleasant weather),Karmali Railway Station (approx. 10 km),Old Goa Bus Stop (approx. 1 km),Dabolim Airport (approx. 30 km),nan,Wheelchair-friendly; paved pathways,Available,Limited parking available; charges Not documented,"Cafes, restaurants, restrooms",nan,Se Cathedral - Wikipedia,Known for its Portuguese-Manueline style architecture and the Golden Bell.,goa_data.csv
Goa,GA,"Church of Our Lady of the Immaculate Conception, Panaji",Church / Religious Site,nan,7:00 AM – 6:30 PM (daily),Free,November–March (pleasant weather),Karmali Railway Station (approx. 10 km),Panaji Bus Stand (approx. 1 km),Dabolim Airport (approx. 30 km),nan,Wheelchair-friendly; paved pathways,Available,Limited parking available; charges Not documented,"Cafes, restaurants, restrooms",nan,Church of Our Lady of the Immaculate Conception - Wikipedia,Known for its whitewashed façade and panoramic views of Panaji.,goa_data.csv
Goa,GA,"Birla Radha Krishna Mandir, Sancoale",Hindu Temple,nan,"6:00 AM – 12:00 PM, 4:00 PM – 8:00 PM (daily)",Free,November–March (pleasant weather),Dabolim Railway Station (approx. 5 km),Sancoale Bus Stop (approx. 1 km),Dabolim Airport (approx. 5 km),nan,Wheelchair-friendly; paved pathways,Not documented,Ample parking available; charges Not documented,"Cafes, restaurants, restrooms",nan,Birla Radha Krishna Mandir - Wikipedia,Newly constructed temple inaugurated in 2023; built in Nagara style with five shikharas.,goa_data.csv
Goa,GA,"Mapusa Municipal Market, Mapusa (North Goa, India)",Market / Cultural Site,nan,7:00 AM – 7:00 PM (daily); busiest on Fridays for the weekly market,Free,November–March (pleasant weather; ideal for shopping),Thivim Railway Station (approx. 10 km),Mapusa Bus Stand (approx. 0.5 km),Dabolim Airport (approx. 35 km),No metro available,Wheelchair-accessible; narrow lanes may be crowded on peak days,Not documented; local vendors can assist with directions and information,Limited roadside parking; charges Not documented,"Cafes, restaurants, small eateries, shops, ATMs, restrooms",,nan,"Famous for fresh local produce, spices, handicrafts, souvenirs, and clothing; Friday market is the largest weekly market attracting locals and tourists alike",goa_data.csv
Goa,GA,"Colva Beach, South Goa",Beach / Tourist Attraction,nan,Open 24/7,Free,November–March (pleasant weather for sunbathing and water sports),Margao Railway Station (approx. 8 km),Colva Bus Stop (approx. 0.5 km),Dabolim Airport (approx. 40 km),No metro available,Wheelchair-friendly; sandy paths,Not documented,Limited parking available; charges Not documented,"Beach shacks, restaurants, cafes, restrooms",nan,Colva Beach - Wikipedia,"Famous for long stretches of white sand, calm waters, and evening beach markets",goa_data.csv
Goa,GA,"Dudhsagar Waterfalls, Mollem (South Goa)",Waterfall / Eco-Tourism / Natural Spot,nan,6:00 AM – 6:00 PM (daily),₹50 per person (entrance to forest area),October–May (waterfall flow and scenic beauty at its peak),Castle Rock Railway Station (approx. 12 km),Mollem Bus Stand (approx. 10 km),Dabolim Airport (approx. 70 km),No metro available,Moderate; trekking required to reach main viewpoint; not wheelchair-friendly,Local guides available for trekking and forest walk,Limited parking available at base; charges Not documented,"Small food stalls, restrooms, picnic areas",nan,Dudhsagar Waterfalls - Wikipedia,One of India’s tallest waterfalls (320 m); located inside Bhagwan Mahaveer Wildlife Sanctuary; popular for photography and nature lovers,goa_data.csv
Goa,GA,"Cabo de Rama Fort, South Goa",Historical Fort / Tourist Attraction,nan,Sunrise to Sunset (daily),Free,November–March (pleasant weather for exploring and photography),Canacona Railway Station (approx. 20 km),Cabo de Rama Bus Stop (approx. 1 km),Dabolim Airport (approx. 85 km),No metro available,Moderate; hill climb required; not fully wheelchair-accessible,Local guides available on request,Limited roadside parking; charges Not documented,"Small cafes, restaurants, restrooms",nan,Cabo de Rama - Wikipedia,"Historical Portuguese fort with panoramic views of the Arabian Sea; less crowded, ideal for history enthusiasts",goa_data.csv
Goa,GA,"Aguada Lighthouse, North Goa",Historical Lighthouse / Tourist Attraction,nan,9:30 AM – 5:00 PM (daily),Free,November–March (pleasant weather; best for photography),Thivim Railway Station (approx. 20 km),Candolim Bus Stop (approx. 1 km),Dabolim Airport (approx. 35 km),No metro available,Wheelchair-friendly; paved pathways,Not documented,Ample parking available; charges Not documented,"Cafes, restaurants, souvenir shops, restrooms",nan,Aguada Lighthouse - Wikipedia,Part of Fort Aguada complex; offers panoramic views of the Arabian Sea; ideal for photography,goa_data.csv
Goa,GA,"Arvalem Caves, Sanquelim (North Goa)",Historical / Religious / Natural Cave,nan,7:00 AM – 6:00 PM (daily),Free,October–March (pleasant weather; ideal for exploration),Karmali Railway Station (approx. 45 km),Sanquelim Bus Stop (approx. 1 km),Dabolim Airport (approx. 60 km),No metro available,Moderate; rocky terrain; not wheelchair-friendly,Not documented,Limited parking available; charges Not documented,"Small shops, eateries, restrooms",nan,Arvalem Caves - Wikipedia,Rock-cut caves dating back to the 6th century; adjacent Arvalem Waterfall adds scenic value,goa_data.csv
Goa,GA,"Vagator Beach, North Goa",Beach / Tourist Attraction,nan,Open 24/7,Free,November–March (pleasant weather; ideal for beach activities),Thivim Railway Station (approx. 20 km),Vagator Bus Stop (approx. 1 km),Dabolim Airport (approx. 45 km),No metro available,Partially accessible; rocky areas may be challenging,Not documented,Limited parking available; charges Not documented,"Beach shacks, restaurants, cafes, restrooms",nan,Vagator Beach - Wikipedia,"Known for its dramatic cliffs, scenic sunset views, and nearby nightlife",goa_data.csv
Goa,GA,"Candolim Beach, North Goa",Beach / Tourist Attraction,nan,Open 24/7,Free,November–March (pleasant weather; ideal for swimming and water sports),Thivim Railway Station (approx. 22 km),Candolim Bus Stop (approx. 0.5 km),Dabolim Airport (approx. 40 km),No metro available,Wheelchair-friendly; sandy and well-maintained paths,Not documented,Limited parking available; charges Not documented,"Beach shacks, restaurants, restrooms, cafes",nan,Candolim Beach - Wikipedia,"Popular for water sports, vibrant beach nightlife, and sunset views",goa_data.csv
Goa,GA,"Morjim Beach, North Goa",Beach / Eco-Tourism / Tourist Attraction,nan,Open 24/7,Free,November–March (pleasant weather; nesting season of Olive Ridley turtles in Nov–Feb),Thivim Railway Station (approx. 22 km),Morjim Bus Stop (approx. 0.5 km),Dabolim Airport (approx. 45 km),No metro available,Partially accessible; sandy paths,Not documented; eco-tours available for turtle watching,Limited parking available; charges Not documented,"Restaurants, cafes, restrooms",nan,Morjim Beach - Wikipedia,Known as a quiet beach with Olive Ridley turtle nesting; ideal for nature lovers and eco-tourism,goa_data.csv
Goa,GA,"Benaulim Beach, South Goa",Beach / Tourist Attraction,nan,Open 24/7,Free,November–March (pleasant weather; ideal for swimming and relaxing),Margao Railway Station (approx. 12 km),Benaulim Bus Stop (approx. 0.5 km),Dabolim Airport (approx. 35 km),No metro available,Wheelchair-friendly; sandy pathways,Not documented,Limited parking available; charges Not documented,"Beach shacks, restaurants, cafes, restrooms",nan,Benaulim Beach - Wikipedia,Popular for its quiet and serene environment; ideal for families and couples,goa_data.csv
Goa,GA,"Anjuna Flea Market, North Goa",Market / Cultural Attraction,nan,"Every Wednesday, 9:00 AM – 7:00 PM",Free,November–March (pleasant weather; ideal for shopping),Thivim Railway Station (approx. 18 km),Anjuna Bus Stop (approx. 1 km),Dabolim Airport (approx. 45 km),No metro available,Wheelchair-friendly; crowded on market days,Not documented,Limited roadside parking; charges Not documented,"Cafes, restaurants, handicraft shops, restrooms",nan,Anjuna Flea Market - Wikipedia,"Famous for handicrafts, jewelry, clothes, souvenirs, and vibrant atmosphere",goa_data.csv
Goa,GA,"Salim Ali Bird Sanctuary, Chorao Island (North Goa)",Wildlife Sanctuary / Eco-Tourism,nan,6:00 AM – 6:00 PM (daily),Free,November–February (best for migratory birds and bird watching),Thivim Railway Station (approx. 35 km),Ribander Bus Stop (approx. 2 km),Dabolim Airport (approx. 35 km),No metro available,Moderate; boardwalk paths; not fully wheelchair-friendly,Local guides available for bird watching,Limited parking near entrance; charges Not documented,"Cafes, restrooms",nan,Salim Ali Bird Sanctuary - Wikipedia,One of Goa’s prime bird sanctuaries; home to a wide variety of migratory and local birds,goa_data.csv
Goa,GA,"Butterfly Conservatory of Goa, Ponda (South Goa)",Eco-Tourism / Natural Attraction,nan,9:00 AM – 5:00 PM (daily),₹200 per person,October–March (best for butterfly spotting),Margao Railway Station (approx. 30 km),Ponda Bus Stand (approx. 5 km),Dabolim Airport (approx. 35 km),No metro available,Wheelchair-friendly; paved walkways,Available; English/Hindi language support,Ample parking available; charges Not documented,"Cafes, restrooms, souvenir shop",nan,,Features over 50 species of butterflies; eco-friendly park; educational for children and nature enthusiasts,goa_data.csv
Gujarat,GJ,Statue of Unity,Historical Monument / Tourist Attraction,nan,8:00 AM - 6:00 PM (High-speed elevator: 9:00 AM - 5:00 PM),"₹120 (adults), ₹60 (children 3-15 years); High-speed elevator: ₹380 (adults), ₹230 (children)","October to March (pleasant weather, clear views)",Kevadia Station (2 km),Kevadia Bus Stand (2 km),"Statue of Unity Airport, Kevadia (5 km)",No metro available,"Well-developed roads, wheelchair accessible, battery-operated vehicles available","Available in multiple languages, audio guides provided","Available, ₹30 for cars","Restaurants, food courts, souvenir shops, restrooms, tent city accommodation",https://www.statueofunity.com/,https://en.wikipedia.org/wiki/Statue_of_Unity,"World's tallest statue at 182m, Unity Glow Garden, River cruise, Jungle Safari available",gujarat_tourism_guide_2025_full.csv
